,Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,Data.Infrastructure.Telephone Lines,Data.Infrastructure.Telephone Lines per 100 People,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Data.Urban Development.Population Density,Data.Urban Development.Urban Population Percent,Data.Urban Development.Urban Population Percent Growth,Country_Year
0,Canada,1980,15.4,7.0,1.754,78.59,71.32,74.8663414634146,0.997669360128831,24277000.0,0.0,0.0,9595000.0,39.5623509247736,669030.0,7.35722509789949,1.82782057091074,4.8797439052687,9093510.0,5918004,0.833711883207287,9984670.0,2.66970619705702,75.623,1.05057823382459,Canada_1980
1,Canada,1981,15.4,7.1,1.74,78.73,71.6,75.0780487804878,1.29324495269762,24593000.0,0.0,0.0,9979000.0,40.7122402233506,663960.0,7.30147104913284,1.81852559671451,4.91812292503115,9093510.0,5985198,1.12901912876715,9984670.0,2.70445625506543,75.663,1.34612555337482,Canada_1981
2,Canada,1982,15.3,7.0,1.7,79.11,72.02,75.4785365853659,1.24059538707161,24900000.0,0.0,0.0,10294500.0,41.5707605456352,658890.0,7.2457170003662,1.81012048192771,4.95650194479359,9093510.0,6047712,1.03905975263073,9984670.0,2.73821659623182,75.712,1.30533307034896,Canada_1982
3,Canada,1983,15.1,7.1,1.69,79.23,72.3,75.6804878048781,1.20555529768394,25202000.0,0.0,0.0,10335442.0,41.3206415823718,662760.0,7.28827482457269,1.78977858900087,4.96024087508564,9093510.0,6080235,0.53633278511322,9984670.0,2.7714270947082,75.874,1.41929292397801,Canada_1983
6,Canada,1986,14.9,7.0,1.67,79.73,73.04,76.3034146341464,0.929446703353191,25942000.0,12000.0,0.0464333822586404,12480666.0,48.2932946017014,674390.0,7.41616823426818,1.7425796006476,4.97123772888577,9093510.0,6134245,0.259275600606004,9984670.0,2.85280381282915,76.354,1.13790549408036,Canada_1986
7,Canada,1987,14.5,7.2,1.675,79.8,73.24,76.44,1.00487939511487,26204000.0,60000.0,0.229211885874027,12948041.0,49.464081599737,678250.0,7.45861608993667,1.72641581437948,4.97486669063981,9093510.0,6157416,0.37702028142286,9984670.0,2.88161556978548,76.502,1.19852374866416,Canada_1987
8,Canada,1988,14.4,7.2,1.68,80.12,73.52,76.739512195122,1.31176768183179,26550000.0,98364.0,0.370663165783137,13444317.0,50.6619606869591,678120.0,7.45718649894265,1.7064406779661,4.98223458268589,9093510.0,6233409,1.22661651368043,9984670.0,2.91966468393393,76.522,1.33790777155719,Canada_1988
11,Canada,1991,15.0,7.3,1.83,80.65,74.26,77.3770731707317,1.49359310901388,27791000.0,583766.0,2.11067478638026,15295819.0,55.3038366405993,677680.0,7.4523478832706,1.63736461444353,5.00400835321015,9093510.0,6508096,1.40821964081274,9984670.0,3.05613563959351,76.582,1.51971400728748,Canada_1991
12,Canada,1992,14.9,7.2,1.7,80.77,74.49,77.5534146341464,1.36050617419992,28171682.0,775831.0,2.76988848091968,15814928.0,56.4627952399094,677530.0,7.45069835520058,1.6175817972104,5.01126627671823,9093510.0,6586539,1.19810805490796,9984670.0,3.09799868257691,76.62,1.41011326283435,Canada_1992
14,Canada,1994,13.6,6.8,1.7,80.83,74.69,77.6851219512195,1.09433192142493,28833410.0,1332982.0,4.64837108660193,16716802.0,58.2947849837802,678740.0,7.46400454829873,1.57986863156318,5.00939681157221,9093510.0,6587858,-0.0588182109392249,9984670.0,3.17076794329142,77.152,1.43839672540424,Canada_1994
15,Canada,1995,13.1,7.2,1.6695,80.93,74.94,77.8619512195122,0.961244716987835,29111906.0,1865779.0,6.4356647042348,17250407.0,59.502135817578,679340.0,7.47060266057881,1.56448018209457,5.0085170632682,9093510.0,6575215,-0.192098059289005,9984670.0,3.20139374125063,77.414,1.30026136406288,Canada_1995
16,Canada,1996,12.6,7.1,1.639,81.02,75.08,77.9775609756098,0.828159179340214,29354000.0,2589780.0,8.84037866114507,17567000.0,59.9660712262568,679940.0,7.47720077285889,1.55130476255366,5.00763731496419,9093510.0,6553280,-0.334158948316874,9984670.0,3.22801646448951,77.675,1.16474222533306,Canada_1996
17,Canada,1997,12.0,7.3,1.592,81.15,75.45,78.2304878048781,1.0771646811962,29671900.0,3497779.0,11.8222655785259,17974000.0,60.7509512488995,680550.0,7.48390885367696,1.53441471560635,5.00675756666018,9093510.0,6542357,-0.166818957078526,9984670.0,3.26297546272012,77.951,1.43186037488132,Canada_1997
18,Canada,1998,11.6,7.2,1.55,81.4,75.7,78.4804878048781,1.05701539463985,29987200.0,4195000.0,14.0458363687853,18660000.0,62.4780230373145,679440.0,7.47170234595882,1.52061546259737,5.01445536432027,9093510.0,6495228,-0.722974466249376,9984670.0,3.29764854275192,78.34,1.55480276064773,Canada_1998
