,Year,Country.Name,Country.Code,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total,Country_Year
0,1992,Afghanistan,AFG,12677538816.0,14485543,7.13,2.89,0.046,0.022,0.363,0.927,0.022,0.0,1.379,0.01,0.0,0.01,0.01,0.01,0.01,Afghanistan_1992
3,1995,Afghanistan,AFG,12307525632.0,18110662,7.83,2.88,0.047,0.015,0.322,0.824,0.022,2.22e-16,1.23,0.01,0.0,0.01,0.01,0.01,0.01,Afghanistan_1995
4,1996,Afghanistan,AFG,12070125568.0,18853444,8.67,3.12,0.047,0.007,0.308,0.78,0.022,0.001,1.165,0.01,0.0,0.01,0.01,0.01,0.0,Afghanistan_1996
6,1998,Afghanistan,AFG,11692172288.0,19737770,9.96,3.72,0.047,0.004,0.265,0.691,0.022,0.0,1.029,0.01,0.0,0.01,0.01,0.01,0.0,Afghanistan_1998
7,1999,Afghanistan,AFG,11517317120.0,20170848,10.78,4.0,0.047,0.004,0.242,0.495,0.022,0.0,0.81,0.01,0.0,0.01,0.0,0.01,0.0,Afghanistan_1999
8,2000,Afghanistan,AFG,11283792896.0,20779958,9.56,3.48,0.01,0.004,0.224,0.498,0.022,0.0,0.758,0.0,0.0,0.0,0.0,0.01,0.0,Afghanistan_2000
9,2001,Afghanistan,AFG,11021273088.0,21606992,8.35,3.07,0.007,0.07,0.209,0.491,0.022,0.0,0.798,0.0,0.0,0.0,0.0,0.01,0.0,Afghanistan_2001
10,2002,Afghanistan,AFG,18804871168.0,22600774,10.2,3.56,0.011,0.055,0.546,0.44,0.0,2.22e-16,1.052,0.0,0.0,0.01,0.0,0.0,0.0,Afghanistan_2002
12,2004,Afghanistan,AFG,22332571648.0,24726690,10.5,3.67,0.01,0.092,0.227,0.561,0.0,0.0,0.889,0.0,0.0,0.0,0.01,0.0,0.0,Afghanistan_2004
13,2005,Afghanistan,AFG,25397688320.0,25654274,10.73,3.82,0.006,0.106,0.33,0.861,0.0,0.0,1.303,0.0,0.0,0.01,0.01,0.0,0.0,Afghanistan_2005
