,Country_Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,Data.Infrastructure.Telephone Lines,Data.Infrastructure.Telephone Lines per 100 People,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Data.Urban Development.Population Density,Data.Urban Development.Urban Population Percent,Data.Urban Development.Urban Population Percent Growth,Country.Code,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total
0,Canada_1992,14.9,7.2,1.7,80.77,74.49,77.5534146341464,1.36050617419992,775831.0,2.76988848091968,15814928.0,56.4627952399094,677530.0,7.45069835520058,1.6175817972104,5.01126627671823,9093510.0,6586539,1.19810805490796,9984670.0,3.09799868257691,76.62,1.41011326283435,CAN,830133000000.0,28224410,73.63,41.18,4.804,106.927,132.129,203.785,12.914,2.962,463.521,0.9,1.27,3.33,2.22,5.44,2.05
1,Canada_1994,13.6,6.8,1.7,80.83,74.69,77.6851219512195,1.09433192142493,1332982.0,4.64837108660193,16716802.0,58.2947849837802,678740.0,7.46400454829873,1.57986863156318,5.00939681157221,9093510.0,6587858,-0.0588182109392249,9984670.0,3.17076794329142,77.152,1.43839672540424,CAN,895510000000.0,28860734,76.94,43.01,5.769,102.541,140.362,212.18,14.179,3.236,478.267,0.97,1.2,3.42,2.3,5.98,2.08
2,Canada_1995,13.1,7.2,1.6695,80.93,74.94,77.8619512195122,0.961244716987835,1865779.0,6.4356647042348,17250407.0,59.502135817578,679340.0,7.47060266057881,1.56448018209457,5.0085170632682,9093510.0,6575215,-0.192098059289005,9984670.0,3.20139374125063,77.414,1.30026136406288,CAN,922093000000.0,29164152,79.95,44.34,6.529,104.352,147.531,214.874,14.455,3.21,490.951,1.04,1.18,3.5,2.3,6.15,2.09
3,Canada_1996,12.6,7.1,1.639,81.02,75.08,77.9775609756098,0.828159179340214,2589780.0,8.84037866114507,17567000.0,59.9660712262568,679940.0,7.47720077285889,1.55130476255366,5.00763731496419,9093510.0,6553280,-0.334158948316874,9984670.0,3.22801646448951,77.675,1.16474222533306,CAN,939604000000.0,29457820,84.39,48.15,6.185,106.282,154.2,221.514,15.601,3.218,507.0,0.97,1.17,3.5,2.31,6.58,2.1
4,Canada_1997,12.0,7.3,1.592,81.15,75.45,78.2304878048781,1.0771646811962,3497779.0,11.8222655785259,17974000.0,60.7509512488995,680550.0,7.48390885367696,1.53441471560635,5.00675756666018,9093510.0,6542357,-0.166818957078526,9984670.0,3.26297546272012,77.951,1.43186037488132,CAN,982581000000.0,29742378,83.89,44.8,6.657,113.174,152.77,229.521,15.709,3.447,521.278,1.01,1.26,3.46,2.35,6.47,2.15
5,Canada_1998,11.6,7.2,1.55,81.4,75.7,78.4804878048781,1.05701539463985,4195000.0,14.0458363687853,18660000.0,62.4780230373145,679440.0,7.47170234595882,1.52061546259737,5.01445536432027,9093510.0,6495228,-0.722974466249376,9984670.0,3.29764854275192,78.34,1.55480276064773,CAN,1023600000000.0,30022078,91.04,44.6,6.828,119.352,149.483,232.639,17.329,3.356,528.987,1.04,1.36,3.33,2.36,7.49,2.19
6,Canada_1999,11.4,7.2,1.53,81.5,75.96,78.6624390243902,0.865613663209682,5346000.0,17.7368955495919,19294000.0,64.0134049258936,678340.0,7.45960580677868,1.50982382248024,5.02215316198036,9093510.0,6435543,-0.923153366004388,9984670.0,3.32631734060885,78.724,1.35459018550948,CAN,1079500000000.0,30302512,86.69,38.91,7.118,119.697,162.378,235.503,15.776,3.258,543.73,1.04,1.38,3.51,2.34,7.05,2.22
7,Canada_2000,11.2,7.3,1.51,81.7,76.2,78.8829268292683,0.827369318170541,6911038.0,22.7219698376468,20380000.0,67.0049485028504,677230.0,7.44739929906054,1.49967868009653,5.02985095964045,9093510.0,6373418,-0.970031638675207,9984670.0,3.35395243420857,79.103,1.30764135879385,CAN,1138680000000.0,30588378,86.01,36.35,7.232,129.348,173.189,237.665,15.759,3.359,566.552,1.01,1.44,3.66,2.31,5.84,2.25
8,Canada_2001,10.9,7.1,1.49,81.9,76.7,79.2365853658537,0.882998576899551,8727000.0,28.4290946227574,20840000.0,67.8884303813756,676130.0,7.4353027598804,1.48880229576499,5.03765872583854,9093510.0,6314558,-0.927814211518486,9984670.0,3.38369892373792,79.478,1.35594393505003,CAN,1162070000000.0,30880072,85.76,34.82,6.983,126.825,165.583,241.582,15.227,2.842,559.042,0.93,1.4,3.46,2.33,5.6,2.2
9,Canada_2002,10.6,7.1,1.505,82.1,77.0,79.4878048780488,1.00952166618952,10649000.0,34.3662595813416,21126000.0,68.1774438835029,675020.0,7.42309625216226,1.47610023840241,5.04535652349863,9093510.0,6275436,-0.62147965947573,9984670.0,3.41803110130192,79.81,1.42637638121949,CAN,1200470000000.0,31178260,87.38,36.14,7.148,124.207,172.158,242.477,15.756,2.923,564.669,0.91,1.31,3.5,2.34,5.49,2.17
10,Canada_2003,10.7,7.1,1.52,82.1,77.2,79.590243902439,0.897131276677935,11872000.0,37.9494194844825,20622000.0,65.9192156847201,675170.0,7.42474578023227,1.4580065046872,5.02842136864643,9093510.0,6307525,0.510040038490118,9984670.0,3.44883328879608,79.888,0.994818992055702,CAN,1225610000000.0,31488046,88.21,36.98,7.248,123.322,175.184,258.366,15.3,2.924,582.344,0.86,1.2,3.44,2.42,5.31,2.13
