Country_Year,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total
Canada_1992,677530.0,7.45069835520058,1.6175817972104,5.01126627671823,9093510.0,6586539,1.19810805490796,9984670.0,73.63,41.18,4.804,106.927,132.129,203.785,12.914,2.962,463.521,0.9,1.27,3.33,2.22,5.44,2.05
Canada_1994,678740.0,7.46400454829873,1.57986863156318,5.00939681157221,9093510.0,6587858,-0.0588182109392249,9984670.0,76.94,43.01,5.769,102.541,140.362,212.18,14.179,3.236,478.267,0.97,1.2,3.42,2.3,5.98,2.08
Canada_1995,679340.0,7.47060266057881,1.56448018209457,5.0085170632682,9093510.0,6575215,-0.192098059289005,9984670.0,79.95,44.34,6.529,104.352,147.531,214.874,14.455,3.21,490.951,1.04,1.18,3.5,2.3,6.15,2.09
Canada_1996,679940.0,7.47720077285889,1.55130476255366,5.00763731496419,9093510.0,6553280,-0.334158948316874,9984670.0,84.39,48.15,6.185,106.282,154.2,221.514,15.601,3.218,507.0,0.97,1.17,3.5,2.31,6.58,2.1
Canada_1997,680550.0,7.48390885367696,1.53441471560635,5.00675756666018,9093510.0,6542357,-0.166818957078526,9984670.0,83.89,44.8,6.657,113.174,152.77,229.521,15.709,3.447,521.278,1.01,1.26,3.46,2.35,6.47,2.15
Canada_1998,679440.0,7.47170234595882,1.52061546259737,5.01445536432027,9093510.0,6495228,-0.722974466249376,9984670.0,91.04,44.6,6.828,119.352,149.483,232.639,17.329,3.356,528.987,1.04,1.36,3.33,2.36,7.49,2.19
Canada_1999,678340.0,7.45960580677868,1.50982382248024,5.02215316198036,9093510.0,6435543,-0.923153366004388,9984670.0,86.69,38.91,7.118,119.697,162.378,235.503,15.776,3.258,543.73,1.04,1.38,3.51,2.34,7.05,2.22
Canada_2000,677230.0,7.44739929906054,1.49967868009653,5.02985095964045,9093510.0,6373418,-0.970031638675207,9984670.0,86.01,36.35,7.232,129.348,173.189,237.665,15.759,3.359,566.552,1.01,1.44,3.66,2.31,5.84,2.25
Canada_2001,676130.0,7.4353027598804,1.48880229576499,5.03765872583854,9093510.0,6314558,-0.927814211518486,9984670.0,85.76,34.82,6.983,126.825,165.583,241.582,15.227,2.842,559.042,0.93,1.4,3.46,2.33,5.6,2.2
Canada_2002,675020.0,7.42309625216226,1.47610023840241,5.04535652349863,9093510.0,6275436,-0.62147965947573,9984670.0,87.38,36.14,7.148,124.207,172.158,242.477,15.756,2.923,564.669,0.91,1.31,3.5,2.34,5.49,2.17
Canada_2003,675170.0,7.42474578023227,1.4580065046872,5.02842136864643,9093510.0,6307525,0.510040038490118,9984670.0,88.21,36.98,7.248,123.322,175.184,258.366,15.3,2.924,582.344,0.86,1.2,3.44,2.42,5.31,2.13
Canada_2004,675350.0,7.4267252139163,1.43872332365198,5.01159618233223,9093510.0,6345653,0.602664649184009,9984670.0,90.62,38.99,7.52,115.671,171.315,267.37,15.811,3.072,580.759,0.83,1.06,3.25,2.43,5.08,2.03
Canada_2005,675510.0,7.42848471052432,1.4195655571183,4.99466102748004,9093510.0,6384602,0.611914239478708,9984670.0,91.39,39.95,7.614,116.765,171.842,261.125,15.53,2.976,575.852,0.79,1.01,3.19,2.35,4.68,1.95
Canada_2008,652824.0,7.17901008521462,1.35864442417899,4.9137241835111,9093510.0,6447349,0.0406916657899339,9984670.0,88.28,40.25,6.988,112.632,184.155,257.766,15.126,2.7,579.367,0.61,0.85,3.14,2.3,4.17,1.81
Canada_2011,632686.0,6.95755544338765,1.27618439422073,4.77230464364145,9093510.0,6482425,0.179337487708787,9984670.0,86.73,40.22,6.02,87.053,197.435,262.234,14.724,2.404,569.87,0.45,0.59,3.1,2.31,4.16,1.65
Canada_2012,625970.0,6.88370057326599,1.25115089692797,4.72512814083891,9093510.0,6485634,0.0494908307480604,9984670.0,87.34,42.51,6.532,81.577,198.953,264.179,15.512,2.51,569.263,0.47,0.55,3.06,2.3,4.26,1.63
Argentina_1995,1279480.0,46.7528291476199,0.784840570937648,9.86520212373342,2736690.0,4141681,-0.433135568632535,2780400.0,112.63,37.07,2.621,3.701,53.195,62.836,5.412,0.0,127.765,0.42,0.04,1.26,0.67,2.3,0.54
Argentina_1996,1280450.0,46.7882734251961,0.778137664653413,9.90430045054427,2736690.0,4122854,-0.455610208382311,2780400.0,112.87,37.89,2.422,3.1,57.542,65.921,5.778,0.0,134.762,0.38,0.03,1.31,0.69,2.44,0.56
Argentina_1997,1281420.0,46.8237177027723,0.771663622491675,9.94339877735513,2736690.0,4102622,-0.491936048475851,2780400.0,113.77,38.37,3.169,2.777,61.504,66.868,3.323,0.0,137.641,0.48,0.03,1.39,0.69,1.37,0.57
Argentina_1999,1283300.0,46.8924138283839,0.759498746889378,10.0212300260534,2736690.0,4059051,-0.553913095033257,2780400.0,117.5,38.5,3.29,2.154,67.621,72.725,1.495,0.0,147.285,0.48,0.02,1.46,0.72,0.67,0.6
Argentina_2000,1284120.0,46.9223770321081,0.754000637225295,10.0603283528642,2736690.0,4034128,-0.615903312778859,2780400.0,117.51,39.91,2.771,1.656,69.438,67.434,1.059,0.0,142.358,0.39,0.02,1.47,0.66,0.39,0.56
Argentina_2001,1285100.0,46.9581867146078,0.748989237127635,10.0997920845985,2736690.0,4006935,-0.676355941088156,2780400.0,116.24,39.25,2.481,1.29,64.809,64.336,1.088,2.84e-14,134.004,0.33,0.01,1.36,0.62,0.4,0.53
Argentina_2002,1286060.0,46.9932655872605,0.744392221565423,10.1385250064859,2736690.0,3977440,-0.738821364652385,2780400.0,119.5,39.8,1.729,1.099,62.62,57.497,1.447,0.0,124.392,0.22,0.01,1.27,0.55,0.5,0.48
Argentina_2003,1287100.0,47.031267699301,0.74046818627152,10.180911977608,2736690.0,3943743,-0.850812391830259,2780400.0,127.2,43.79,2.28,1.99,69.07,59.357,1.935,0.0,134.631,0.27,0.02,1.36,0.56,0.67,0.49
Argentina_2004,1308835.0,47.8254753004542,0.755417158903021,10.4810921222353,2736690.0,3907155,-0.93207846765228,2780400.0,129.11,44.1,2.701,2.198,82.911,67.812,1.422,0.0,157.043,0.3,0.02,1.57,0.62,0.46,0.55
Argentina_2006,1377975.0,50.3518849412977,0.851211557567983,12.0209084697207,2736690.0,3832321,-0.967276488981039,2780400.0,130.77,45.0,3.764,3.866,83.869,81.912,1.198,0.0,174.609,0.36,0.03,1.52,0.73,0.36,0.57
Argentina_2007,1411040.0,51.5600963207378,0.893946211338025,12.7358232024818,2736690.0,3795182,-0.97382573305571,2780400.0,131.03,47.4,3.998,3.66,87.178,77.952,1.458,2.84e-14,174.246,0.36,0.03,1.53,0.69,0.42,0.55
Argentina_2010,1432970.0,52.3614293178986,0.844425923168759,12.3495901983783,2736690.0,3684176,-0.98979889645614,2780400.0,116.14,41.67,4.178,3.99,86.928,90.145,1.491,0.001,186.733,0.33,0.03,1.4,0.8,0.41,0.56
Argentina_2012,1475480.0,53.9147656475523,0.934180676062195,13.902926528032,2736690.0,3611417,-0.991628806976994,2780400.0,118.86,42.24,4.184,5.009,95.381,85.587,1.554,0.0,191.715,0.3,0.03,1.47,0.74,0.43,0.55
Argentina_2013,1487910.0,54.3689639674205,0.956289576000658,14.3571248479002,2736690.0,3576617,-0.968283452629752,2780400.0,120.81,44.01,4.581,4.84,91.338,87.487,1.887,2.84e-14,190.133,0.32,0.03,1.39,0.76,0.51,0.54
Bolivia_1992,357960.0,33.0434782608696,0.303303158262726,1.94775223853042,1083300.0,3020684,0.0849506153539007,1098580.0,19.75,7.69,0.271,0.0,1.821,3.408,1.121,0.0,6.621,0.05,0.0,0.05,0.04,0.47,0.03
Bolivia_1994,362130.0,33.4284131819441,0.301669673079204,2.03083171789901,1083300.0,3050774,0.882115368807395,1098580.0,19.0,7.98,0.346,0.0,2.207,4.175,1.866,0.0,8.594,0.06,0.0,0.05,0.05,0.79,0.04
Bolivia_1995,363510.0,33.5558017169759,0.314854162901257,2.16929751684667,1083300.0,3076194,0.829778965847417,1098580.0,18.39,8.12,0.402,0.0,2.451,5.023,1.924,0.0,9.8,0.06,0.0,0.06,0.05,0.82,0.04
Bolivia_1996,366000.0,33.785654943229,0.340520855461732,2.40007384842611,1083300.0,3099957,0.769512185184285,1098580.0,20.46,7.2,0.42,0.0,3.1,5.474,1.092,0.0,10.086,0.07,0.0,0.07,0.06,0.46,0.04
Bolivia_1999,369820.0,34.1382811778824,0.364898394078978,2.74531524046894,1083300.0,3189505,0.894882751178375,1098580.0,26.23,9.54,0.539,0.0,3.448,6.035,0.7,0.0,10.722,0.08,0.0,0.07,0.06,0.31,0.04
Bolivia_2000,370690.0,34.218591341272,0.368883621182715,2.83393335179544,1083300.0,3216527,0.84364737085282,1098580.0,19.65,6.81,0.481,0.0,2.711,4.946,0.502,0.001,8.641,0.07,0.0,0.06,0.05,0.19,0.03
Bolivia_2001,371430.0,34.2869011354195,0.370088252629022,2.90224314594295,1083300.0,3242305,0.798229056724493,1098580.0,18.47,7.04,0.437,0.0,2.433,5.078,0.344,0.0,8.292,0.06,0.0,0.05,0.05,0.13,0.03
Bolivia_2002,371560.0,34.2989015046617,0.363360943381905,2.90778177790086,1083300.0,3267111,0.762161154839421,1098580.0,21.55,9.58,0.444,0.0,2.557,4.932,0.451,0.0,8.384,0.06,0.0,0.05,0.05,0.16,0.03
Bolivia_2005,366170.0,33.8013477337764,0.389546356451787,3.30379396289117,1083300.0,3332162,0.594622712396928,1098580.0,24.91,10.75,0.613,0.0,3.701,6.614,0.249,0.0,11.176,0.06,0.0,0.07,0.06,0.08,0.04
Bolivia_2006,369620.0,34.119819071356,0.406853917102071,3.51333887196529,1083300.0,3349547,0.520377024231659,1098580.0,25.56,11.01,0.691,0.0,4.204,6.484,0.169,0.0,11.548,0.07,0.0,0.08,0.06,0.05,0.04
Bolivia_2008,368280.0,33.9961229576295,0.372967127634332,3.3314871226807,1083300.0,3376696,0.370484802350374,1098580.0,25.34,9.72,0.803,0.0,5.037,7.542,0.172,0.0,13.554,0.07,0.0,0.09,0.07,0.05,0.04
Bolivia_2009,368190.0,33.9878150096926,0.366073228068299,3.32317917474384,1083300.0,3387847,0.329689976115926,1098580.0,24.12,8.49,0.911,0.0,5.511,7.669,0.139,0.0,14.229,0.08,0.0,0.1,0.07,0.04,0.05
Bolivia_2013,375150.0,34.6302963168097,0.409287667017426,3.96566048186098,1083300.0,3434489,0.363216406954036,1098580.0,28.08,9.09,1.199,0.004,7.346,10.354,0.191,0.0,19.094,0.08,0.0,0.11,0.09,0.05,0.05
Saudi Arabia_1993,1237460.0,57.5645790788439,0.211427353011215,1.69791923486642,2149690.0,3823718,0.28473557860146,2149690.0,79.28,5.5,7.398,0.0,119.721,212.794,0.729,0.0,340.642,1.33,0.0,2.94,2.31,0.31,1.49
