,Country_Year,Country,Year_x,Emissions.Production.CO2.Total,Data.Urban Development.Population Density,Data.Urban Development.Urban Population Percent,Data.Urban Development.Urban Population Percent Growth
0,Canada_1992,Canada,1992,463.521,3.09799868257691,76.62,1.41011326283435
1,Canada_1993,Canada,1993,463.993,3.13625838647563,76.887,1.57528573046169
2,Canada_1994,Canada,1994,478.267,3.17076794329142,77.152,1.43839672540424
3,Canada_1995,Canada,1995,490.951,3.20139374125063,77.414,1.30026136406288
4,Canada_1997,Canada,1997,521.278,3.26297546272012,77.951,1.43186037488132
5,Canada_1998,Canada,1998,528.987,3.29764854275192,78.34,1.55480276064773
6,Canada_2000,Canada,2000,566.552,3.35395243420857,79.103,1.30764135879385
7,Canada_2003,Canada,2003,582.344,3.44883328879608,79.888,0.994818992055702
8,Canada_2005,Canada,2005,575.852,3.51844337335088,80.045,1.09952778043555
9,Canada_2006,Canada,2006,571.41,3.55330339989729,80.122,1.08205383257025
10,Canada_2009,Canada,2009,546.61,3.65598905153236,80.578,1.30831924280004
11,Canada_2013,Canada,2013,573.699,3.82188087988027,81.293,1.41038594744595
12,Argentina_1994,Argentina,1994,122.229,12.4098626442893,87.752,1.54704580459545
13,Argentina_1996,Argentina,1996,134.762,12.7282110871162,88.164,1.48491174222325
14,Argentina_1997,Argentina,1997,137.641,12.8856647994475,88.366,1.45831306730044
15,Argentina_1999,Argentina,1999,147.285,13.1945313499154,88.759,1.38586465190768
16,Argentina_2000,Argentina,2000,142.358,13.3425992713826,88.952,1.33314912334572
17,Argentina_2001,Argentina,2001,134.004,13.4845623727934,89.142,1.2717328348464
18,Argentina_2002,Argentina,2002,124.392,13.6198696235233,89.329,1.2079814520524
19,Argentina_2003,Argentina,2003,134.631,13.7492902009362,89.519,1.15821719976431
20,Argentina_2005,Argentina,2005,161.434,13.9982164585686,89.899,1.09764451435171
21,Argentina_2007,Argentina,2007,174.246,14.2467444248344,90.266,1.0804616523179
22,Argentina_2010,Argentina,2010,186.733,14.6248354764332,90.795,1.06289530006986
23,Argentina_2012,Argentina,2012,191.715,14.8824813917543,91.133,1.05765373073638
24,Argentina_2013,Argentina,2013,190.133,15.0133654158856,91.295,1.05320945451387
25,Bolivia_1992,Bolivia,1992,6.621,6.42180005538632,56.579,4.15322750155933
26,Bolivia_1993,Bolivia,1993,7.792,6.57555063232715,57.548,4.06412082098924
27,Bolivia_1994,Bolivia,1994,8.594,6.73197175297701,58.167,3.42086210264532
28,Bolivia_1995,Bolivia,1995,9.8,6.88984861072648,58.785,3.37495746066923
29,Bolivia_1996,Bolivia,1996,10.086,7.04824333056402,59.4,3.31367906541463
30,Bolivia_1998,Bolivia,1998,11.246,7.36501523123788,60.38,2.98700414285009
31,Bolivia_1999,Bolivia,1999,10.722,7.52350595402936,60.866,2.9307875647481
32,Bolivia_2000,Bolivia,2000,8.641,7.68245915258931,61.351,2.8844338563327
33,Bolivia_2001,Bolivia,2001,8.292,7.84202990861257,61.834,2.83998568258737
34,Bolivia_2002,Bolivia,2002,8.384,8.00246099879996,62.313,2.79680556287024
35,Bolivia_2003,Bolivia,2003,9.985,8.16334348749192,62.791,2.75464224439332
36,Bolivia_2005,Bolivia,2005,11.176,8.48113172713007,63.732,2.61382091121239
37,Bolivia_2006,Bolivia,2006,11.548,8.63538170405243,64.194,2.52469227658354
38,Bolivia_2007,Bolivia,2007,12.663,8.78555801716976,64.652,2.4350563771176
39,Bolivia_2009,Bolivia,2009,14.229,9.07790824333056,65.55,2.29871840782207
40,Bolivia_2010,Bolivia,2010,15.426,9.22496630665559,65.991,2.27750047973313
41,Bolivia_2011,Bolivia,2011,16.992,9.37561248038401,66.426,2.27685053111841
42,Saudi Arabia_1993,Saudi Arabia,1993,340.642,8.03074536328494,77.851,3.89055847538847
43,Saudi Arabia_1996,Saudi Arabia,1996,258.275,8.63721885481162,78.67,2.32150674020372
44,Saudi Arabia_1997,Saudi Arabia,1997,215.807,8.7679386330122,78.91,1.80671492860199
45,Saudi Arabia_1998,Saudi Arabia,1998,207.24,8.86679009531607,79.147,1.42100390363258
46,Saudi Arabia_1999,Saudi Arabia,1999,225.986,8.97011429554959,79.383,1.45629167957191
47,Saudi Arabia_2000,Saudi Arabia,2000,296.364,9.12721927347664,79.616,2.02934959083394
48,Saudi Arabia_2001,Saudi Arabia,2001,296.588,9.37092511013216,79.848,2.92604764636874
49,Saudi Arabia_2002,Saudi Arabia,2002,325.698,9.71842172592327,80.077,3.92752965211832
50,Saudi Arabia_2004,Saudi Arabia,2004,394.585,10.6305248663761,80.53,4.87975488686629
51,Saudi Arabia_2006,Saudi Arabia,2006,431.292,11.4854081286139,80.979,3.78507588675706
52,Saudi Arabia_2010,Saudi Arabia,2010,517.716,12.4652275444366,81.867,1.88441139437495
53,Saudi Arabia_2011,Saudi Arabia,2011,497.659,12.6801478352693,82.084,1.97417677513024
54,Spain_1993,Spain,1993,241.209,78.2230998718565,75.61,0.438471192757844
55,Spain_1995,Spain,1995,267.458,78.6780534198302,75.774,0.377287204034486
56,Spain_1997,Spain,1997,267.42,79.0449022905654,75.938,0.339242465377755
57,Spain_1999,Spain,1999,299.54,79.5312910459715,76.1,0.456276487316092
58,Spain_2000,Spain,2000,311.385,79.942071119654,76.181,0.621554081218195
59,Spain_2001,Spain,2001,313.344,80.6878076152305,76.262,0.946655140742654
60,Spain_2003,Spain,2003,337.701,83.0225192369349,76.533,1.89254302850064
61,Spain_2004,Spain,2004,354.612,84.5088139260031,76.778,2.12806716477212
62,Spain_2005,Spain,2005,369.681,85.9848050803317,77.022,2.04276209944672
63,Spain_2007,Spain,2007,368.546,88.9761493446631,77.502,1.99920810283443
64,Spain_2009,Spain,2009,297.385,92.1293223736969,77.976,1.89844652332989
65,Spain_2011,Spain,2011,284.73,93.3779009623095,78.442,0.756607893274885
66,Spain_2012,Spain,2012,278.964,93.7102987169206,78.673,0.649389460315482
67,Spain_2013,Spain,2013,252.726,93.747522052927,78.902,0.330370601174519
68,Oman_1994,Oman,1994,15.054,6.60391599353796,71.044,6.18104804837086
69,Oman_1995,Oman,1995,15.719,6.8150113085622,71.688,4.04885957448079
70,Oman_1996,Oman,1996,14.884,6.96155088852989,71.669,2.10094840741232
71,Oman_1998,Oman,1998,16.301,7.03626171243942,71.629,0.0512991192290196
72,Oman_2001,Oman,2001,20.107,7.08411954765751,71.569,0.899793350709439
73,Oman_2003,Oman,2003,32.028,7.45851050080775,71.529,3.02385464367303
74,Oman_2004,Oman,2004,27.592,7.71929240710824,71.509,3.40875223591595
75,Oman_2006,Oman,2006,39.047,8.14967689822294,72.4,3.13403279041794
76,Oman_2011,Oman,2011,53.476,9.05579321486268,75.161,5.82403125282993
77,Oman_2012,Oman,2012,58.968,9.773098546042,75.691,8.32560140842265
78,Tanzania_1992,Tanzania,1992,2.178,29.7329002032061,19.208,4.99191915517997
79,Tanzania_1994,Tanzania,1994,2.063,31.7871472115602,19.867,5.00558643771527
80,Tanzania_1995,Tanzania,1995,2.434,32.8147809889366,20.203,4.85880380750085
81,Tanzania_1998,Tanzania,1998,2.481,35.6582061413412,21.237,4.2405473834637
82,Tanzania_2003,Tanzania,2003,3.687,40.4227782795213,23.044,4.19608593504873
83,Tanzania_2007,Tanzania,2007,5.71,45.0918344998871,25.478,5.35474008543263
84,Tanzania_2009,Tanzania,2009,5.771,47.8141679837435,26.776,5.4337147161205
85,Tanzania_2010,Tanzania,2010,6.927,49.2659200722511,27.439,5.43699845600794
86,Tanzania_2011,Tanzania,2011,7.752,50.7714269586814,28.114,5.44034460100157
87,Tanzania_2012,Tanzania,2012,9.062,52.3307823436442,28.798,5.4289323327679
88,Tanzania_2013,Tanzania,2013,9.909,53.9434488597878,29.493,5.41984880156869
89,Gabon_1992,Gabon,1992,4.917,3.77435867582567,70.462,4.58206402927508
90,Gabon_1993,Gabon,1993,4.975,3.87636511817441,71.749,4.47690736432057
91,Gabon_1994,Gabon,1994,4.375,3.98012574222843,72.999,4.36869182763411
92,Gabon_1995,Gabon,1995,4.606,4.08573757131214,74.214,4.26954055570968
93,Gabon_1996,Gabon,1996,4.754,4.19325881942019,75.358,4.12736500830405
94,Gabon_1997,Gabon,1997,4.775,4.302782628944,76.431,3.99218884805318
95,Gabon_1999,Gabon,1999,4.788,4.52720534016378,78.379,3.736516835686
96,Gabon_2003,Gabon,2003,4.614,4.9882330112159,81.565,3.24376237231943
97,Gabon_2004,Gabon,2004,4.658,5.10660922885862,82.23,3.1573679184179
98,Gabon_2006,Gabon,2006,4.143,5.35361120813444,83.421,3.06268467607516
99,Gabon_2007,Gabon,2007,4.09,5.48339736872744,83.952,3.02993703166578
100,Gabon_2008,Gabon,2008,4.163,5.61721581868281,84.443,2.99426699624382
101,Gabon_2010,Gabon,2010,4.783,5.89573873559204,85.313,2.90934762794608
102,Gabon_2012,Gabon,2012,5.034,6.18633911592347,86.047,2.80820181889185
103,New Zealand_1992,New Zealand,1992,28.275,13.2737077968934,84.933,5.07010550765676
104,New Zealand_1993,New Zealand,1993,27.863,13.412707455091,85.034,1.16059892354926
105,Albania_1992,Albania,1992,2.495,119.225912408759,36.7,0.141060581773093
106,Albania_1994,Albania,1994,1.913,117.784197080292,37.799,0.855534960140529
107,Albania_1995,Albania,1995,2.066,117.063357664234,38.354,0.843725669639771
108,Albania_1996,Albania,1996,1.993,116.342481751825,38.911,0.824171260000091
109,Albania_1999,Albania,1999,2.975,114.179927007299,40.601,0.774515178812666
110,Albania_2000,Albania,2000,3.004,113.459051094891,41.169,0.755983737416337
111,Albania_2001,Albania,2001,3.221,112.738211678832,41.741,0.742478629285177
112,Albania_2002,Albania,2002,3.748,111.828868613139,42.435,0.839115427828092
113,Albania_2003,Albania,2003,4.232,111.365948905109,43.501,2.0661726924212
114,Albania_2008,Albania,2008,4.272,107.331386861314,48.902,1.32896088572003
115,Albania_2009,Albania,2009,4.254,106.297773722628,49.991,1.23477554659152
116,Albania_2010,Albania,2010,4.448,105.266532846715,51.076,1.17234556913369
117,Albania_2011,Albania,2011,5.031,104.258138686131,52.163,1.14325989185989
118,Albania_2012,Albania,2012,4.668,103.260474452555,53.247,1.09529593851416
119,United Arab Emirates_1992,United Arab Emirates,1992,57.757,22.822990430622,78.906,5.28302886571145
120,United Arab Emirates_1993,United Arab Emirates,1993,65.566,24.0786722488038,78.76,5.17063199627729
121,United Arab Emirates_1995,United Arab Emirates,1995,70.012,26.700466507177,78.467,4.91426368891019
122,United Arab Emirates_1997,United Arab Emirates,1997,73.101,29.5551435406699,78.493,5.3923345014263
123,United Arab Emirates_1998,United Arab Emirates,1998,80.683,31.2080502392344,78.938,6.00715726924784
124,United Arab Emirates_1999,United Arab Emirates,1999,77.544,32.9365789473684,79.378,5.94664100883292
125,United Arab Emirates_2000,United Arab Emirates,2000,111.787,34.613014354067,79.81,5.50730780054907
126,United Arab Emirates_2001,United Arab Emirates,2001,100.591,36.2003827751196,80.236,5.01637151872895
127,United Arab Emirates_2002,United Arab Emirates,2002,83.698,37.4653588516746,80.655,3.95552797109876
128,United Arab Emirates_2004,United Arab Emirates,2004,111.802,40.3020813397129,81.472,4.90616947542019
129,United Arab Emirates_2005,United Arab Emirates,2005,114.478,43.7638516746411,81.871,8.7290390986578
130,United Arab Emirates_2006,United Arab Emirates,2006,121.737,49.6277870813397,82.262,13.0507090305763
131,United Arab Emirates_2008,United Arab Emirates,2008,153.97,69.3462559808612,83.019,17.7628230659066
132,United Arab Emirates_2009,United Arab Emirates,2009,165.5,81.3233851674641,83.377,16.3624366605425
133,United Arab Emirates_2010,United Arab Emirates,2010,180.622,92.3243899521531,83.723,13.1015925759922
134,United Arab Emirates_2011,United Arab Emirates,2011,192.991,100.975322966507,84.055,9.35254666420568
135,United Arab Emirates_2012,United Arab Emirates,2012,201.548,106.7595215311,84.375,5.95025082626787
136,United Arab Emirates_2013,United Arab Emirates,2013,205.39,110.115442583732,84.684,3.46058869039457
137,India_1992,India,1992,656.033,298.113713553456,25.778,2.88946354362299
138,India_1994,India,1994,716.918,309.804463892318,26.191,2.69592937566035
139,India_1995,India,1995,762.121,315.638270678968,26.399,2.65658006444476
140,India_1997,India,1997,859.686,327.30756426599,26.817,2.58441760327462
141,India_1999,India,1999,951.749,338.94455315671,27.24,2.51154874306987
142,India_2000,India,2000,978.919,344.752508585055,27.453,2.47792303600989
143,India_2002,India,2002,1023.027,356.351557754466,27.918,2.54360914832431
144,India_2003,India,2003,1059.616,362.138216192036,28.244,2.77175882202658
145,India_2006,India,2006,1259.744,379.102428031845,29.235,2.61839060384811
146,India_2009,India,2009,1612.817,395.08485296937,30.246,2.46458048781397
147,India_2012,India,2012,1963.586,410.722597277671,31.276,2.3924841308201
148,India_2013,India,2013,2036.937,415.946082154185,31.631,2.39242233005414
149,Turkey_1992,Turkey,1992,163.922,71.3475735093486,59.976,2.98060645000452
150,Turkey_1993,Turkey,1993,171.011,72.5220885360498,60.518,2.53242239112575
151,Turkey_1995,Turkey,1995,180.903,74.8586216753505,61.59,2.44755481846085
152,Turkey_1996,Turkey,1996,199.522,76.0395514727856,62.123,2.42691126151971
153,Turkey_1998,Turkey,1998,212.04,78.4434247625482,63.179,2.38831710277806
154,Turkey_2003,Turkey,2003,236.484,84.4851422111924,65.953,2.37417077015763
155,Turkey_2004,Turkey,2004,244.464,85.6752790301833,66.569,2.32852713622138
156,Turkey_2008,Turkey,2008,309.321,90.2986019256006,68.975,2.12346826596916
157,Turkey_2009,Turkey,2009,315.36,91.4251146654886,69.562,2.08725680798042
158,Turkey_2011,Turkey,2011,339.482,93.7301638449645,70.715,2.06552572808833
159,Turkey_2012,Turkey,2012,353.666,94.9269623065629,71.282,2.0673834634095
160,Turkey_2013,Turkey,2013,345.221,96.1463664358198,71.834,2.047797097962
161,Bangladesh_1992,Bangladesh,1992,15.38,844.546285626488,20.257,4.57202430776012
162,Bangladesh_1996,Bangladesh,1996,21.493,920.869516785742,21.693,3.80462219333719
163,Bangladesh_1998,Bangladesh,1998,23.198,959.86260275025,22.438,3.73830968456066
