Country_Year,Cell Subscriptions,Cell Subscriptions per 100 People,Telephone Lines,Telephone Lines per 100 People,CO2 Cement,CO2 Coal,CO2 Gas,CO2 Oil,CO2 Flaring,CO2 Other,CO2 Total
Canada_1992,775831.0,2.76988848091968,15814928.0,56.4627952399094,4.804,106.927,132.129,203.785,12.914,2.962,463.521
Canada_1994,1332982.0,4.64837108660193,16716802.0,58.2947849837802,5.769,102.541,140.362,212.18,14.179,3.236,478.267
Canada_1995,1865779.0,6.4356647042348,17250407.0,59.502135817578,6.529,104.352,147.531,214.874,14.455,3.21,490.951
Canada_1996,2589780.0,8.84037866114507,17567000.0,59.9660712262568,6.185,106.282,154.2,221.514,15.601,3.218,507.0
Canada_1997,3497779.0,11.8222655785259,17974000.0,60.7509512488995,6.657,113.174,152.77,229.521,15.709,3.447,521.278
Canada_1998,4195000.0,14.0458363687853,18660000.0,62.4780230373145,6.828,119.352,149.483,232.639,17.329,3.356,528.987
Canada_1999,5346000.0,17.7368955495919,19294000.0,64.0134049258936,7.118,119.697,162.378,235.503,15.776,3.258,543.73
Canada_2000,6911038.0,22.7219698376468,20380000.0,67.0049485028504,7.232,129.348,173.189,237.665,15.759,3.359,566.552
Canada_2001,8727000.0,28.4290946227574,20840000.0,67.8884303813756,6.983,126.825,165.583,241.582,15.227,2.842,559.042
Canada_2002,10649000.0,34.3662595813416,21126000.0,68.1774438835029,7.148,124.207,172.158,242.477,15.756,2.923,564.669
Canada_2003,11872000.0,37.9494194844825,20622000.0,65.9192156847201,7.248,123.322,175.184,258.366,15.3,2.924,582.344
Canada_2004,13291000.0,42.0712688116672,20612000.0,65.2451277365198,7.52,115.671,171.315,267.37,15.811,3.072,580.759
Canada_2005,15020000.0,47.0638664815028,20563000.0,64.4323759293704,7.614,116.765,171.842,261.125,15.53,2.976,575.852
Canada_2008,20277400.0,61.4731075542007,18282026.0,55.4239177905794,6.988,112.632,184.155,257.766,15.126,2.7,579.367
Canada_2011,25825400.0,75.6760779974588,18394000.0,53.8998729423458,6.02,87.053,197.435,262.234,14.724,2.404,569.87
Canada_2012,27387200.0,79.412158882078,18202000.0,52.7786745622621,6.532,81.577,198.953,264.179,15.512,2.51,569.263
Argentina_1995,241163.0,0.701068622153627,4986887.0,14.4970414115177,2.621,3.701,53.195,62.836,5.412,0.0,127.765
Argentina_1996,405395.0,1.16381892109268,5714158.0,16.4043592015518,2.422,3.1,57.542,65.921,5.778,0.0,134.762
Argentina_1997,667020.0,1.89150032880493,6262637.0,17.7592575105483,3.169,2.777,61.504,66.868,3.323,0.0,137.641
Argentina_1999,2670862.0,7.39659559567715,7095464.0,19.6499398964401,3.29,2.154,67.621,72.725,1.495,0.0,147.285
Argentina_2000,3848869.0,10.540642447322,7223168.0,19.7816114876702,2.771,1.656,69.438,67.434,1.059,0.0,142.358
Argentina_2001,6487950.0,17.5810590485609,7894205.0,21.3917314785787,2.481,1.29,64.809,64.336,1.088,2.84e-14,134.004
Argentina_2002,6741791.0,18.0874244208887,8131435.0,21.8156742022808,1.729,1.099,62.62,57.497,1.447,0.0,124.392
Argentina_2003,6566740.0,17.4519490973966,7708568.0,20.4865026405523,2.28,1.99,69.07,59.357,1.935,0.0,134.631
Argentina_2004,7842233.0,20.6535373030331,8603869.0,22.6594044504812,2.701,2.198,82.911,67.812,1.422,0.0,157.043
Argentina_2006,22156426.0,57.3289942567057,9441673.0,24.4300058678549,3.764,3.866,83.869,81.912,1.198,0.0,174.609
Argentina_2007,31510390.0,80.8188264138509,9459794.0,24.2627733010219,3.998,3.66,87.178,77.952,1.458,2.84e-14,174.246
Argentina_2010,52482780.0,131.129449217276,9768135.0,24.405912995272,4.178,3.99,86.928,90.145,1.491,0.001,186.733
Argentina_2012,60722729.0,149.090622449436,9722525.0,23.8714123673559,4.184,5.009,95.381,85.587,1.554,0.0,191.715
Argentina_2013,64327647.0,156.56475598674,9455639.0,23.0137410860637,4.581,4.84,91.338,87.487,1.887,2.84e-14,190.133
Bolivia_1992,295.0,0.0042404943927727,204059.0,2.93325778066036,0.271,0.0,1.821,3.408,1.121,0.0,6.621
Bolivia_1994,2659.0,0.036460893668982,231739.0,3.17766492589553,0.346,0.0,2.207,4.175,1.866,0.0,8.594
Bolivia_1995,4056.0,0.0543424887118084,242823.0,3.25335457013497,0.402,0.0,2.451,5.023,1.924,0.0,9.8
Bolivia_1996,7229.0,0.0946778947743408,246881.0,3.23338958912492,0.42,0.0,3.1,5.474,1.092,0.0,10.086
Bolivia_1999,239272.0,2.93577567411113,452381.0,5.55054137228789,0.539,0.0,3.448,6.035,0.7,0.0,10.722
Bolivia_2000,420344.0,5.05074973493249,502568.0,6.03873302053925,0.481,0.0,2.711,4.946,0.502,0.001,8.641
Bolivia_2001,582620.0,6.85816850339442,510755.0,6.01222727326768,0.437,0.0,2.433,5.078,0.344,0.0,8.292
Bolivia_2002,779917.0,8.99655164697097,524391.0,6.04899074479304,0.444,0.0,2.557,4.932,0.451,0.0,8.384
Bolivia_2005,1800789.0,19.6001898208566,625428.0,6.80729808949226,0.613,0.0,3.701,6.614,0.249,0.0,11.176
Bolivia_2006,2421402.0,25.8843113131579,646291.0,6.9087237240624,0.691,0.0,4.204,6.484,0.169,0.0,11.548
Bolivia_2008,3254410.0,33.6322513118439,678198.0,7.00874369707256,0.803,0.0,5.037,7.542,0.172,0.0,13.554
Bolivia_2009,5038600.0,51.2360157484703,788972.0,8.02282019154172,0.911,0.0,5.511,7.669,0.139,0.0,14.229
