Development Status,Country,Year_x,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,Data.Infrastructure.Telephone Lines,Data.Infrastructure.Telephone Lines per 100 People,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Data.Urban Development.Population Density,Data.Urban Development.Urban Population Percent,Data.Urban Development.Urban Population Percent Growth,Country_Year,Year_y,Country.Name,Country.Code,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total
Advanced Economy,Canada,1992,14.9,7.2,1.7,80.77,74.49,77.55341463,1.360506174,28171682,775831,2.769888481,15814928,56.46279524,677530,7.450698355,1.617581797,5.011266277,9093510,6586539,1.198108055,9984670,3.097998683,76.62,1.410113263,Canada_1992,1992,Canada,CAN,8.30133E+11,28224410,73.63,41.18,4.804,106.927,132.129,203.785,12.914,2.962,463.521,0.9,1.27,3.33,2.22,5.44,2.05
Advanced Economy,Canada,1993,14.7,6.9,1.71,80.02,74.75,77.32073171,1.2274176,28519597,1026611,3.621301434,16246589,57.30875282,678140,7.457406436,1.597568156,5.010386528,9093510,6591734,0.078841898,9984670,3.136258386,76.887,1.57528573,Canada_1993,1993,Canada,CAN,8.54596E+11,28547964,75.22,40.96,4.893,98.918,137.34,206.897,13.018,2.927,463.993,0.88,1.16,3.37,2.25,5.57,2.03
Advanced Economy,Canada,1994,13.6,6.8,1.7,80.83,74.69,77.68512195,1.094331921,28833410,1332982,4.648371087,16716802,58.29478498,678740,7.464004548,1.579868632,5.009396812,9093510,6587858,-0.058818211,9984670,3.170767943,77.152,1.438396725,Canada_1994,1994,Canada,CAN,8.9551E+11,28860734,76.94,43.01,5.769,102.541,140.362,212.18,14.179,3.236,478.267,0.97,1.2,3.42,2.3,5.98,2.08
Advanced Economy,Canada,1995,13.1,7.2,1.6695,80.93,74.94,77.86195122,0.961244717,29111906,1865779,6.435664704,17250407,59.50213582,679340,7.470602661,1.564480182,5.008517063,9093510,6575215,-0.192098059,9984670,3.201393741,77.414,1.300261364,Canada_1995,1995,Canada,CAN,9.22093E+11,29164152,79.95,44.34,6.529,104.352,147.531,214.874,14.455,3.21,490.951,1.04,1.18,3.5,2.3,6.15,2.09
Advanced Economy,Canada,1997,12,7.3,1.592,81.15,75.45,78.2304878,1.077164681,29671900,3497779,11.82226558,17974000,60.75095125,680550,7.483908854,1.534414716,5.006757567,9093510,6542357,-0.166818957,9984670,3.262975463,77.951,1.431860375,Canada_1997,1997,Canada,CAN,9.82581E+11,29742378,83.89,44.8,6.657,113.174,152.77,229.521,15.709,3.447,521.278,1.01,1.26,3.46,2.35,6.47,2.15
Advanced Economy,Canada,1998,11.6,7.2,1.55,81.4,75.7,78.4804878,1.057015395,29987200,4195000,14.04583637,18660000,62.47802304,679440,7.471702346,1.520615463,5.014455364,9093510,6495228,-0.722974466,9984670,3.297648543,78.34,1.554802761,Canada_1998,1998,Canada,CAN,1.0236E+12,30022078,91.04,44.6,6.828,119.352,149.483,232.639,17.329,3.356,528.987,1.04,1.36,3.33,2.36,7.49,2.19
Advanced Economy,Canada,2000,11.2,7.3,1.51,81.7,76.2,78.88292683,0.827369318,30499200,6911038,22.72196984,20380000,67.0049485,677230,7.447399299,1.49967868,5.02985096,9093510,6373418,-0.970031639,9984670,3.353952434,79.103,1.307641359,Canada_2000,2000,Canada,CAN,1.13868E+12,30588378,86.01,36.35,7.232,129.348,173.189,237.665,15.759,3.359,566.552,1.01,1.44,3.66,2.31,5.84,2.25
Advanced Economy,Canada,2003,10.7,7.1,1.52,82.1,77.2,79.5902439,0.897131277,31362000,11872000,37.94941948,20622000,65.91921568,675170,7.42474578,1.458006505,5.028421369,9093510,6307525,0.510040038,9984670,3.448833289,79.888,0.994818992,Canada_2003,2003,Canada,CAN,1.22561E+12,31488046,88.21,36.98,7.248,123.322,175.184,258.366,15.3,2.924,582.344,0.86,1.2,3.44,2.42,5.31,2.13
Advanced Economy,Canada,2005,10.65,7.25,1.53,82.6,77.8,80.14146341,1.002034424,31995000,15020000,47.06386648,20563000,64.43237593,675510,7.428484711,1.419565557,4.994661027,9093510,6384602,0.611914239,9984670,3.518443373,80.045,1.09952778,Canada_2005,2005,Canada,CAN,1.31126E+12,32164312,91.39,39.95,7.614,116.765,171.842,261.125,15.53,2.976,575.852,0.79,1.01,3.19,2.35,4.68,1.95
Advanced Economy,Canada,2006,10.65,7.1,1.54,82.7,78,80.29268293,0.985903767,32312000,17016600,52.75959279,18148000,56.26747352,675690,7.430464144,1.400903689,4.977835841,9093510,6422979,0.599287482,9984670,3.5533034,80.122,1.082053833,Canada_2006,2006,Canada,CAN,1.34943E+12,32536994,93.3,35.83,7.728,114.091,171.445,259.315,15.898,2.933,571.41,0.74,0.93,3.11,2.31,4.77,1.87
Advanced Economy,Canada,2009,11.3,7.2,1.6808,82.886,78.312,80.54321951,1.082197086,33245773,22092500,66.20487722,18250000,54.69000834,646108,7.105155215,1.33111659,4.866547681,9093510,6456994,0.149484585,9984670,3.655989052,80.578,1.308319243,Canada_2009,2009,Canada,CAN,1.36151E+12,33746092,85.23,37.13,5.364,93.379,177.77,253.65,14.213,2.234,546.61,0.46,0.71,3.09,2.31,3.87,1.73
Advanced Economy,Canada,2013,11,7.2,1.61,83.441,79.14,81.23804878,1.19118433,34754312,27887963,80.05046389,17647000,50.65448976,653460,7.186004084,1.32113103,5.049205422,9093510,6501489,0.244165053,9984670,3.82188088,81.293,1.410385947,Canada_2013,2013,Canada,CAN,1.5149E+12,35296536,90.1,42.06,5.973,79.249,205.109,264.355,16.58,2.433,573.699,0.42,0.53,3.13,2.28,4.48,1.63
Emerging and Developing Economies,Argentina,1994,21.067,8.093,2.875,75.905,68.702,72.21565854,1.307446078,33961947,112000,0.329780857,3982435,11.72616811,1278500,46.71701947,0.791768505,9.825738392,2736690,4159659,-0.392601901,2780400,12.40986264,87.752,1.547045805,Argentina_1994,1994,Argentina,ARG,4.72927E+11,34402668,111.15,37.03,3.05,3.561,42.677,67.203,5.738,0,122.229,0.51,0.04,1.04,0.73,2.42,0.53
Emerging and Developing Economies,Argentina,1996,20.503,7.976,2.774,76.377,69.129,72.66460976,1.253257095,34833168,405395,1.163818921,5714158,16.4043592,1280450,46.78827343,0.778137665,9.904300451,2736690,4122854,-0.455610208,2780400,12.72821109,88.164,1.484911742,Argentina_1996,1996,Argentina,ARG,4.89406E+11,35246376,112.87,37.89,2.422,3.1,57.542,65.921,5.778,0,134.762,0.38,0.03,1.31,0.69,2.44,0.56
